id,time,cur_frame,total_frames,rarm_pos_x,rarm_pos_y,rarm_pos_z,rarm_yaw,rarm_roll,rarm_pitch,rhand_pos_x,rhand_pos_y,rhand_pos_z,rhand_yaw,rhand_roll,rhand_pitch,rhand_vel_x,rhand_vel_y,rhand_vel_z,rfinger1_pos_x,rfinger1_pos_y,rfinger1_pos_z,rfinger1_yaw,rfinger1_roll,rfinger1_pitch,rfinger1_vel_x,rfinger1_vel_y,rfinger1_vel_z,rfinger2_pos_x,rfinger2_pos_y,rfinger2_pos_z,rfinger2_yaw,rfinger2_roll,rfinger2_pitch,rfinger2_vel_x,rfinger2_vel_y,rfinger2_vel_z,rfinger3_pos_x,rfinger3_pos_y,rfinger3_pos_z,rfinger3_yaw,rfinger3_roll,rfinger3_pitch,rfinger3_vel_x,rfinger3_vel_y,rfinger3_vel_z,rfinger4_pos_x,rfinger4_pos_y,rfinger4_pos_z,rfinger4_yaw,rfinger4_roll,rfinger4_pitch,rfinger4_vel_x,rfinger4_vel_y,rfinger4_vel_z,rfinger5_pos_x,rfinger5_pos_y,rfinger5_pos_z,rfinger5_yaw,rfinger5_roll,rfinger5_pitch,rfinger5_vel_x,rfinger5_vel_y,rfinger5_vel_z,larm_pos_x,larm_pos_y,larm_pos_z,larm_yaw,larm_roll,larm_pitch,lhand_pos_x,lhand_pos_y,lhand_pos_z,lhand_yaw,lhand_roll,lhand_pitch,lhand_vel_x,lhand_vel_y,lhand_vel_z,lfinger1_pos_x,lfinger1_pos_y,lfinger1_pos_z,lfinger1_yaw,lfinger1_roll,lfinger1_pitch,lfinger1_vel_x,lfinger1_vel_y,lfinger1_vel_z,lfinger2_pos_x,lfinger2_pos_y,lfinger2_pos_z,lfinger2_yaw,lfinger2_roll,lfinger2_pitch,lfinger2_vel_x,lfinger2_vel_y,lfinger2_vel_z,lfinger3_pos_x,lfinger3_pos_y,lfinger3_pos_z,lfinger3_yaw,lfinger3_roll,lfinger3_pitch,lfinger3_vel_x,lfinger3_vel_y,lfinger3_vel_z,lfinger4_pos_x,lfinger4_pos_y,lfinger4_pos_z,lfinger4_yaw,lfinger4_roll,lfinger4_pitch,lfinger4_vel_x,lfinger4_vel_y,lfinger4_vel_z,lfinger5_pos_x,lfinger5_pos_y,lfinger5_pos_z,lfinger5_yaw,lfinger5_roll,lfinger5_pitch,lfinger5_vel_x,lfinger5_vel_y,lfinger5_vel_z,sign
0,6206962,0,20,77.14016,130.12085,294.1831,-0.32356042,0.05650607,-0.94451874,1.8640089,169.48033,23.58827,0.21079531,0.5626833,-0.79934525,2.146556,0.34032887,1.0652977,-49.22365,-20.874008,-52.51859,-0.12308607,0.059439223,-0.99061435,1.7800206,0.015682627,1.5649394,-25.610222,-37.987762,-55.034485,-0.10199278,-0.94839567,-0.3002384,1.4441625,1.516306,-1.4212245,-19.27092,-47.223236,-53.312866,-0.33300218,-0.9115467,-0.24123047,2.3236678,0.8334504,-0.7294851,-5.4229927,-49.50332,-45.32464,-0.43236214,-0.86300635,-0.26131016,2.5208325,0.5807138,-0.33016077,8.038194,-41.30388,-35.936768,-0.5990939,-0.7212021,-0.3477844,2.6208804,0.4123746,0.07292839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
1,64908338,1,20,76.54355,129.70201,294.19803,-0.319943,0.05668625,-0.94573945,2.2183957,169.09935,23.309488,0.21228199,0.5624439,-0.7991203,6.432214,-6.049855,-3.4937017,-49.171844,-20.837967,-52.58471,-0.121835954,0.05950763,-0.9907648,6.7306347,-5.4398584,-4.0168486,-25.573492,-37.97168,-55.064415,-0.102397025,-0.94832647,-0.30031937,6.277147,-5.826947,-3.7276938,-19.24025,-47.205406,-53.347748,-0.33350986,-0.91118884,-0.24188018,6.241156,-5.7189236,-4.1373076,-5.3864326,-49.481194,-45.379704,-0.43249947,-0.86242795,-0.26298723,6.45247,-5.7141933,-4.5822043,8.057291,-41.309456,-35.93815,-0.5991917,-0.72060215,-0.34885782,6.199345,-6.3119016,-3.5593536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
2,115837494,2,20,76.10842,128.93637,294.33688,-0.3168693,0.05910317,-0.94662595,2.49009,168.90312,23.22069,0.21157329,0.5620946,-0.7995538,5.8014307,-4.4830885,-2.177547,-49.21376,-20.846436,-52.530293,-0.1224988,0.0591603,-0.9907038,5.6417446,-4.597676,-1.2816321,-25.641504,-37.98683,-55.021408,-0.10297338,-0.94843,-0.29979485,4.5936456,-4.765015,-1.4165859,-19.304152,-47.210045,-53.325096,-0.33402738,-0.911123,-0.24141385,4.7007437,-4.4444847,-1.9736776,-5.4119663,-49.457275,-45.42935,-0.43264627,-0.86215776,-0.26363078,5.6331987,-3.7294507,-3.8114648,8.032049,-41.31324,-35.964844,-0.59947985,-0.72038215,-0.34881732,5.4172115,-4.5010076,-2.8136435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
3,166819323,3,20,75.83702,127.88527,294.41327,-0.31466255,0.06312419,-0.9471023,2.6620815,168.80138,23.159506,0.20979953,0.5616689,-0.8003201,3.5747302,-2.1975121,-1.3120012,-49.283844,-20.89473,-52.426033,-0.1234619,0.058338083,-0.9906331,2.7547698,-3.1184304,0.5966148,-25.73453,-38.03273,-54.936348,-0.1032444,-0.9487966,-0.29853925,1.9659928,-3.3229082,0.679778,-19.37717,-47.216835,-53.2996,-0.33420303,-0.9112447,-0.24071033,2.3047507,-2.2986708,-0.9351876,-5.4429092,-49.439034,-45.467056,-0.4325938,-0.8622153,-0.26352885,3.2123916,-1.7280853,-2.3572056,7.9993067,-41.318947,-35.98355,-0.5998246,-0.7206076,-0.34775737,3.0055447,-2.3665771,-1.5746081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
4,217802551,4,20,75.73758,127.034195,294.44086,-0.31336126,0.066457585,-0.94730574,2.7909925,168.71657,23.106144,0.20805356,0.5610441,-0.80121356,2.3900223,-1.7788457,-1.0487994,-49.316944,-21.002182,-52.33621,-0.12398046,0.056969482,-0.9906479,2.188503,-3.701667,0.6593886,-25.76331,-38.121964,-54.83944,-0.10260311,-0.9495231,-0.29644302,1.7706845,-3.3720615,0.70308584,-19.389978,-47.277588,-53.241905,-0.33353832,-0.911832,-0.23940471,2.06717,-2.8164842,0.02831043,-5.4370728,-49.47545,-45.425392,-0.43197635,-0.86299026,-0.2620005,2.5636106,-2.2074873,-0.53484124,8.004757,-41.342133,-35.95822,-0.59952,-0.7216452,-0.34612703,2.4210873,-2.1522067,-0.59588206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
5,267786399,5,20,75.637245,126.298744,294.40863,-0.31225443,0.069063924,-0.94748473,2.8782167,168.54228,22.981869,0.20645435,0.55980897,-0.8024902,1.739623,-3.329931,-2.244637,-49.28774,-21.172089,-52.24472,-0.12349403,0.05428254,-0.99085957,3.0119896,-6.6468253,-0.6546081,-25.814114,-38.21904,-54.752357,-0.10246324,-0.95001185,-0.2949216,0.8182219,-4.886093,-0.8369075,-19.427757,-47.37288,-53.12784,-0.33332208,-0.9126007,-0.23676233,1.0427523,-4.9569483,-0.06262994,-5.4568334,-49.54473,-45.34104,-0.43169576,-0.86382955,-0.25968686,1.3503053,-4.529777,-0.6486638,7.9871435,-41.3919,-35.89216,-0.5997974,-0.72276723,-0.34329373,1.2546707,-4.2516594,-0.7451456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
6,317937122,6,20,75.70946,125.97049,294.3125,-0.3123745,0.06981824,-0.9473899,2.9280708,168.3471,22.878975,0.20659049,0.5588411,-0.8031295,0.98401725,-3.5735748,-1.878932,-49.23739,-21.252121,-52.235966,-0.12280563,0.05282806,-0.9910237,2.3573637,-5.3408527,-1.6745044,-25.81221,-38.256195,-54.728424,-0.10261828,-0.95029193,-0.29396376,0.97068,-4.113676,-1.5701447,-19.422905,-47.423218,-53.075634,-0.33348444,-0.91288567,-0.23543133,1.0487888,-4.468698,-0.75718766,-5.452596,-49.589073,-45.28248,-0.43181682,-0.8641822,-0.2583087,1.0154113,-4.3807154,-0.6606046,7.987438,-41.427505,-35.829388,-0.6004027,-0.7231217,-0.34148437,0.83105683,-4.2321453,-0.46228167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
7,368473798,7,20,75.731544,125.821594,294.26538,-0.3122766,0.070051864,-0.9474049,2.9760563,168.22488,22.81018,0.20664118,0.5582482,-0.80352867,0.86562693,-2.309311,-1.2926325,-49.229527,-21.28769,-52.222412,-0.122698195,0.05209938,-0.9910756,1.0789404,-3.115668,-0.9044631,-25.813227,-38.290634,-54.677372,-0.10268224,-0.95083916,-0.29216653,0.8038976,-3.149823,0.11724664,-19.426653,-47.44864,-53.03231,-0.33383182,-0.91310644,-0.23407888,0.65107375,-2.9318726,0.037161503,-5.4562874,-49.60962,-45.23289,-0.43201765,-0.8645815,-0.2566311,0.61841786,-2.8504808,-0.020233322,7.975052,-41.44761,-35.77286,-0.60131127,-0.7233675,-0.3393585,0.2982766,-2.8324351,0.32228133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
8,418545745,8,20,75.67351,125.74002,294.2537,-0.31190765,0.070398346,-0.94750077,3.0131161,168.19113,22.753735,0.20679162,0.5574667,-0.8040324,0.8204384,-0.98435456,-1.3503526,-49.239902,-21.295761,-52.192886,-0.1219861,0.051209074,-0.99120986,0.76867515,-1.230812,-0.66995174,-25.84351,-38.318665,-54.622383,-0.10325799,-0.9512851,-0.29050723,0.32914624,-1.8855239,0.51269305,-19.464588,-47.473167,-52.96264,-0.33467317,-0.91333336,-0.23198283,0.012478056,-1.6675646,0.7116816,-5.4908037,-49.632973,-45.181854,-0.43266994,-0.8647178,-0.25506845,0.04929833,-1.5886251,0.1883932,7.9397335,-41.47506,-35.71766,-0.6024215,-0.7233984,-0.3373175,-0.14016831,-1.6648206,0.4139155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
9,468569681,9,20,75.60876,125.8281,294.22372,-0.3116269,0.07025422,-0.9476038,3.038971,168.21298,22.681423,0.20728348,0.5567401,-0.8044091,0.43944046,0.25323117,-1.1497381,-49.246826,-21.282166,-52.17977,-0.12120583,0.05056115,-0.99133885,0.3093757,0.7756274,-0.8931445,-25.87054,-38.328064,-54.582954,-0.10397611,-0.9516379,-0.28909215,0.009060243,0.13966654,-0.36288914,-19.499481,-47.481857,-52.90427,-0.33577672,-0.91341686,-0.23005128,-0.21803074,0.07125582,0.40639237,-5.5306454,-49.6482,-45.113617,-0.4337264,-0.8648663,-0.25276005,-0.35983452,-0.018403817,0.46657658,7.902543,-41.49891,-35.66498,-0.60369706,-0.723156,-0.3355522,-0.3982127,-0.13599108,0.1740906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
10,519360864,10,20,75.50953,125.96336,294.24515,-0.31114003,0.069993936,-0.94778305,3.0733151,168.26338,22.647335,0.20763518,0.55620897,-0.8046858,0.6133027,0.91217035,-0.8283456,-49.269,-21.24971,-52.16519,-0.120936915,0.050389465,-0.99138045,0.10801192,1.5436081,-0.43198738,-25.901855,-38.321945,-54.563183,-0.10472955,-0.95177454,-0.28836945,0.043880776,1.0247548,-0.37997335,-19.5366,-47.47867,-52.84017,-0.33689585,-0.9135719,-0.2277885,-0.1466327,0.7429659,1.1501787,-5.5672245,-49.64952,-45.06539,-0.43467388,-0.8649191,-0.25094527,-0.15491715,0.73415273,0.5728101,7.8664155,-41.511436,-35.620285,-0.6050273,-0.72286075,-0.33378774,-0.24316873,0.5987898,0.5514349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
11,569372680,11,20,75.42977,126.064674,294.24326,-0.31110606,0.06966361,-0.9478185,3.014398,168.27596,22.63249,0.2078771,0.556042,-0.8047387,-1.4100206,0.34322047,-0.3131216,-49.261757,-21.243454,-52.177467,-0.12070445,0.05043109,-0.9914066,-1.4198915,0.88948345,-0.6981953,-25.884735,-38.311768,-54.57113,-0.10464148,-0.95187235,-0.28807837,-1.0159278,0.94964725,-0.78188145,-19.512064,-47.46982,-52.843506,-0.33696604,-0.9136083,-0.2275385,-0.9142215,0.5847705,-0.06798497,-5.547551,-49.646896,-45.05401,-0.43470955,-0.8650333,-0.25048944,-1.0170585,0.5024024,0.11699323,7.880178,-41.511673,-35.601658,-0.60524374,-0.7228858,-0.33334088,-1.2088186,0.36734566,0.32943845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
12,619502893,12,20,75.60585,126.167816,294.15085,-0.31261456,0.06919455,-0.94735646,2.8739288,168.26155,22.65319,0.20882714,0.5559445,-0.80456007,-2.7678208,-0.258265,0.323026,-49.222736,-21.223953,-52.23021,-0.12020662,0.050758373,-0.9914504,-2.308634,0.31512588,-0.6554787,-25.830048,-38.30397,-54.59291,-0.10447615,-0.95197636,-0.2877946,-1.6821144,0.05218097,-0.15243705,-19.46039,-47.464615,-52.85217,-0.33694607,-0.9136536,-0.22738607,-1.7437893,-0.104859605,0.123651996,-5.510169,-49.64637,-45.02664,-0.4348632,-0.865164,-0.2497704,-1.9920084,-0.17296067,0.69890916,7.9151793,-41.51198,-35.58901,-0.60508925,-0.72278935,-0.33383012,-2.0624049,-0.16507219,0.51373297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
13,669700694,13,20,75.8712,126.339806,294.0364,-0.31418863,0.068471596,-0.94688815,2.779716,168.25934,22.65439,0.20924681,0.55596125,-0.8044395,-2.0683384,-0.023603683,-0.009523803,-49.209328,-21.213638,-52.257484,-0.1200692,0.050961632,-0.9914566,-1.9961271,0.24663459,-0.5554224,-25.80128,-38.296875,-54.606213,-0.104361914,-0.95201296,-0.287715,-1.43027,0.093646094,-0.21458489,-19.430277,-47.45285,-52.85827,-0.33688787,-0.91371524,-0.22722463,-1.3924742,0.20389475,-0.20170148,-5.4975357,-49.650543,-44.99462,-0.4350792,-0.8652992,-0.2489245,-2.1438975,-0.5383784,1.5367073,7.9375663,-41.506874,-35.588203,-0.60497487,-0.72272193,-0.3341832,-1.6385772,0.01462111,0.14076348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
14,719701324,14,20,76.152306,126.43122,293.93182,-0.31568378,0.068490684,-0.9463893,2.6793668,168.3694,22.677732,0.20886643,0.5562576,-0.80433345,-2.2878108,2.3111951,0.68477565,-49.220222,-21.196182,-52.24713,-0.120397344,0.05141649,-0.9913934,-2.4322228,2.9483695,0.8434119,-25.813288,-38.258804,-54.632637,-0.10442155,-0.9517807,-0.28846088,-2.5185552,3.3217537,-0.21114889,-19.422966,-47.40628,-52.91432,-0.33679444,-0.9134305,-0.22850421,-1.9759974,3.6377544,-1.1787381,-5.478012,-49.607048,-45.060036,-0.4346378,-0.8650885,-0.2504232,-1.4944218,3.642469,-1.8609383,7.938095,-41.489433,-35.608955,-0.60498506,-0.72262025,-0.3343846,-2.1084445,2.8543313,-0.12547469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
15,770047820,15,20,76.398415,126.40812,293.87613,-0.3173774,0.0698434,-0.9457238,2.4784665,168.752,22.827873,0.20816058,0.5577589,-0.8034763,-3.4210575,7.059112,3.0948155,-49.229507,-21.08699,-52.247665,-0.120649934,0.053451695,-0.99125504,-3.6318653,9.3591385,3.1540785,-25.863775,-38.104614,-54.747444,-0.104812115,-0.9507146,-0.29181537,-4.5706353,10.226755,0.45411962,-19.441172,-47.26024,-53.04841,-0.3369858,-0.9127062,-0.23110165,-3.7871642,9.981234,0.18254673,-5.424437,-49.419403,-45.31537,-0.43420163,-0.8638864,-0.2552825,-1.8441161,11.243592,-3.359978,7.968469,-41.38987,-35.757988,-0.60450494,-0.72167885,-0.3372734,-2.3753037,9.030396,-0.4242421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
16,820436734,16,20,76.30678,125.998924,294.01694,-0.3169201,0.073115245,-0.94562984,2.4127586,169.1553,22.997456,0.20653443,0.5581333,-0.80363595,-1.387463,7.2847385,3.2097003,-49.315907,-21.026093,-52.15602,-0.122687906,0.05460015,-0.99094224,-2.7751603,8.546741,4.9061027,-25.984118,-38.005783,-54.786068,-0.10552961,-0.9501109,-0.29351798,-3.6130037,9.896531,1.2323164,-19.504457,-47.139854,-53.15014,-0.3373635,-0.91212064,-0.2328557,-2.0443473,10.065384,0.1201396,-5.4339457,-49.29557,-45.47448,-0.43435338,-0.863194,-0.2573583,-0.7429519,10.24058,-1.0865223,7.9658356,-41.330704,-35.864063,-0.60438997,-0.721377,-0.33812416,-0.83459836,8.503307,0.73415846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
17,871196220,17,20,76.1863,125.6127,294.1762,-0.31603527,0.075822406,-0.9457128,2.4261825,169.40501,23.119009,0.20496373,0.55780506,-0.80426574,-0.042063855,5.9313974,2.6669183,-49.377808,-21.029282,-52.05568,-0.12333288,0.054377895,-0.9908744,-1.3595825,6.431686,4.996364,-26.078989,-37.933228,-54.846073,-0.10579232,-0.94947475,-0.2954753,-2.273485,7.9777417,0.8156335,-19.537453,-47.091667,-53.18988,-0.3373753,-0.91203636,-0.2331686,-0.6134019,7.5893226,0.9912261,-5.4334383,-49.246956,-45.54129,-0.43412986,-0.863207,-0.25769156,0.32794136,7.605962,0.2556169,7.9732676,-41.313156,-35.905136,-0.60417634,-0.72173935,-0.33773255,0.4720522,6.6179914,1.2023911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
18,920920901,18,20,75.98142,125.42251,294.34082,-0.31489727,0.077588215,-0.94594914,2.4283957,169.60793,23.200712,0.203562,0.55731875,-0.8049586,-0.13188139,3.9494388,1.7432458,-49.367336,-21.097061,-51.983524,-0.12223932,0.053256225,-0.9910708,0.553664,2.9277444,2.9250734,-26.091621,-37.92964,-54.86044,-0.104920305,-0.9495969,-0.29539385,-0.23085663,4.979156,0.25377253,-19.480194,-47.060303,-53.24115,-0.33652046,-0.9123182,-0.2333012,1.441765,5.0149794,0.10038654,-5.3785057,-49.244957,-45.545033,-0.43324748,-0.8638851,-0.25690293,1.2101785,4.0932136,1.5350711,8.024977,-41.31172,-35.8992,-0.60346854,-0.722811,-0.33670455,1.2220235,4.103821,1.726997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
19,971073954,19,20,75.83273,125.39602,294.30154,-0.31508082,0.078656636,-0.94579977,2.337516,169.80005,23.180098,0.20546263,0.5566804,-0.8049174,-1.7335957,4.00796,-0.39615038,-49.18013,-21.185394,-52.106873,-0.11850017,0.051971223,-0.991593,1.6149824,2.7386029,-2.5835133,-25.898977,-37.944824,-54.94744,-0.103169866,-0.9498954,-0.2950504,1.5593946,4.075559,-2.0864398,-19.269857,-47.108215,-53.25814,-0.33508042,-0.9129639,-0.2328475,1.8186367,3.2530863,-0.29816043,-5.201035,-49.289413,-45.48047,-0.43214297,-0.8648042,-0.25566807,0.823984,2.8215306,1.6963933,8.184082,-41.33026,-35.843628,-0.60175455,-0.7237191,-0.33781973,0.9934577,3.734482,0.52545494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
